,City,Latitude,Longitude,Wind Speed,Humidity,Max Temp,Cloudiness,Date,Country
0,port alfred,-33.5906,26.891,9.95,51,71.00600000000003,89,1627819144,ZA
1,kapaa,22.0752,-159.319,1.34,81,77.108,46,1627819145,US
2,saint george,37.1041,-113.5841,2.68,62,78.35,30,1627819146,US
3,barrow,71.2906,-156.7887,6.57,84,45.68000000000004,68,1627819147,US
4,poltava,49.5937,34.5407,3.5,26,92.04800000000003,33,1627819148,UA
5,albany,42.6001,-73.9662,0.45,82,63.03200000000002,32,1627819150,US
6,parrita,9.5201,-84.3225,1.59,84,83.984,68,1627819151,CR
7,bluff,-46.6,168.3333,3.1,93,40.80200000000008,30,1627819152,NZ
8,esperance,-33.8667,121.9,12.44,70,44.438000000000045,91,1627819153,AU
9,rikitea,-23.1203,-134.9692,11.28,69,69.42200000000004,95,1627819154,PF
10,ancud,-41.8697,-73.8203,1.53,81,31.532000000000018,33,1627819155,CL
11,salalah,17.0151,54.0924,3.48,92,76.53200000000001,100,1627819018,OM
12,opuwo,-18.0607,13.84,7.16,18,77.91800000000009,0,1627819157,NA
13,saldanha,-33.0117,17.9442,3.15,82,62.65400000000005,43,1627819159,ZA
14,wencheng,33.0559,113.7978,3.24,76,86.46800000000009,38,1627819160,CN
15,ilulissat,69.2167,-51.1,3.21,61,46.13000000000004,40,1627819161,GL
16,bambous virieux,-20.3428,57.7575,7.2,60,75.45200000000008,75,1627819162,MU
17,nuristan,35.3,70.8333,2.11,63,57.776000000000096,52,1627819163,AF
18,los llanos de aridane,28.6585,-17.9182,9.26,81,72.12200000000004,40,1627819164,ES
19,yellowknife,62.456,-114.3525,3.6,61,69.29600000000005,20,1627819123,CA
20,vaini,-21.2,-175.2,14.92,78,71.76200000000006,75,1627819166,TO
21,port elizabeth,-33.918,25.5701,10.29,72,66.092,0,1627819168,ZA
22,moose factory,51.2585,-80.6094,2.06,100,46.4,90,1627819169,CA
23,khuzhir,53.1939,107.3397,4.84,78,60.17000000000006,22,1627819170,RU
24,monte patria,-30.6919,-70.9467,3.18,12,64.27400000000002,0,1627819171,CL
25,jamestown,42.097,-79.2353,0.89,89,65.066,53,1627819172,US
26,rioja,-29.4111,-66.8507,0.28,40,51.22400000000002,1,1627819173,AR
27,krasnoselkup,65.7,82.4667,2.66,44,68.43200000000002,88,1627819174,RU
28,abalak,58.1286,68.5944,3.49,87,70.79000000000002,99,1627819175,RU
29,bredasdorp,-34.5322,20.0403,8.23,55,65.51600000000002,72,1627819176,ZA
30,hobart,-42.8794,147.3294,0.89,76,43.05200000000008,20,1627818976,AU
31,ushibuka,32.1906,130.0228,2.64,84,81.05000000000001,99,1627819179,JP
32,krasnyy oktyabr,56.1167,38.8833,3.02,69,70.82600000000009,98,1627819180,RU
33,acapulco,16.8634,-99.8901,2.99,88,76.65800000000002,100,1627819181,MX
34,punta arenas,-53.15,-70.9167,6.17,87,39.30800000000001,0,1627818624,CL
35,paranaiba,-19.6772,-51.1908,3.88,44,63.55400000000006,45,1627819183,BR
36,gardiner,44.2301,-69.7753,0.45,83,65.12000000000006,65,1627819184,US
37,ylivieska,64.0833,24.55,1.41,71,63.320000000000064,100,1627819185,FI
38,ngunguru,-35.6167,174.5,3.95,89,49.15400000000005,53,1627819186,NZ
39,lebu,-37.6167,-73.65,6.35,72,46.09400000000007,6,1627819187,CL
40,ushuaia,-54.8,-68.3,2.06,61,42.458000000000006,20,1627818955,AR
41,ryotsu,38.0833,138.4333,1.11,87,80.56400000000004,15,1627819190,JP
42,cherskiy,68.75,161.3,7.78,91,33.09800000000003,82,1627819192,RU
43,hermanus,-34.4187,19.2345,6.77,72,63.89600000000005,71,1627819193,ZA
44,port hardy,50.6996,-127.4199,1.03,94,57.38000000000004,90,1627819194,CA
45,kokoda,-8.8785,147.7407,1.33,99,73.11200000000005,99,1627819195,PG
46,colares,38.7992,-9.4469,5.66,59,77.45,20,1627819196,PT
47,alekseyevsk,57.8406,108.3492,3.87,39,72.57200000000003,57,1627819198,RU
48,vao,-22.6667,167.4833,8.59,62,66.79400000000007,79,1627819199,NC
49,sao filipe,14.8961,-24.4956,5.56,77,75.434,64,1627819200,CV
50,rivera,-30.9053,-55.5508,1.36,77,48.182000000000016,1,1627819203,UY
51,sola,-13.8833,167.55,6.78,65,76.02800000000008,59,1627819205,VU
52,upernavik,72.7868,-56.1549,0.8,80,43.43000000000004,100,1627819206,GL
